Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
32,2,427,1,1,3,3,1,1,3,2,4,4,1,6162,1,1,22,4,2,9.0,3,9,8.0,7.0,8.0,0
38,1,653,1,29,5,1,4,0,3,2,2,4,2,2406,1,0,11,3,4,10.0,3,10,3.0,7.5,9.0,0
50,2,989,1,7,2,3,2,0,2,5,5,3,0,16581,5,1,12,3,4,28.5,2,18,3.0,7.5,8.0,0
59,2,1435,2,25,3,1,1,0,3,3,7,1,2,7637,7,0,11,3,4,28.0,2,18,14.5,7.0,9.0,0
36,2,1223,1,8,3,5,3,0,3,3,0,3,0,10096,1,0,13,3,2,17.0,3,17,14.0,7.5,8.0,0
55,2,836,1,8,3,3,4,0,3,4,3,3,0,14756,2,1,14,3,3,21.0,3,5,0.0,0.0,2.0,0
36,1,1195,1,11,3,1,2,1,2,2,4,2,2,6499,1,0,13,3,3,6.0,3,6,5.0,0.0,3.0,0
45,2,1339,1,7,3,1,2,1,3,3,6,1,0,9724,2,0,17,3,3,25.0,3,1,0.0,0.0,0.0,0
35,1,664,1,1,3,3,2,1,3,1,6,1,1,2194,4,0,13,3,4,5.0,2,3,2.0,1.0,2.0,0
36,2,318,1,9,3,3,4,1,2,1,6,3,1,3388,0,1,17,3,1,2.0,2,1,0.0,0.0,0.0,1
59,1,1225,2,1,1,1,1,0,2,2,7,3,2,5473,7,0,11,3,4,20.0,2,4,3.0,1.0,3.0,0
29,2,1328,1,2,3,1,3,1,3,1,6,2,1,2703,0,0,23,4,4,6.0,3,5,4.0,0.0,4.0,0
31,2,1082,1,1,4,3,3,1,3,1,6,2,2,2501,1,0,17,3,2,1.0,3,1,1.0,1.0,0.0,0
32,2,548,1,1,3,1,2,1,3,2,6,2,1,6220,1,0,17,3,2,10.0,3,10,4.0,0.0,9.0,0
36,2,132,1,6,3,1,2,0,4,1,2,4,1,3038,3,0,12,3,2,5.0,3,1,0.0,0.0,0.0,0
31,2,746,1,8,4,1,3,0,3,2,4,4,2,4424,1,0,23,4,4,11.0,3,11,7.0,1.0,8.0,0
35,2,776,2,1,4,2,3,1,2,2,7,1,2,4312,0,0,14,3,2,16.0,3,15,13.0,2.0,8.0,0
45,2,193,1,6,4,4,4,1,3,3,5,1,1,13245,4,1,14,3,2,17.0,4,0,0.0,0.0,0.0,0
37,2,397,1,7,4,3,1,1,3,3,5,3,2,13664,4,0,13,3,1,16.0,4,5,2.0,0.0,2.0,0
46,2,945,0,5,2,3,2,1,3,2,1,2,0,5021,8,1,22,4,4,16.0,3,4,2.0,0.0,2.0,0
30,2,852,1,1,1,1,4,1,2,2,2,4,1,5126,1,1,12,3,3,10.0,2,10,8.0,3.0,0.0,0
35,2,1214,1,1,3,3,2,1,2,1,6,3,2,2859,1,0,18,3,1,6.0,3,6,4.0,0.0,4.0,0
55,2,111,2,1,2,1,1,1,3,3,7,4,1,10239,3,0,14,3,4,24.0,3,1,0.0,1.0,0.0,0
38,0,573,1,6,3,3,2,0,1,2,6,4,0,5329,7,1,12,3,4,17.0,3,13,11.0,1.0,9.0,0
34,2,1153,1,1,2,3,1,1,3,2,4,2,1,4325,1,0,15,3,3,5.0,3,5,2.0,1.0,3.0,0
56,2,1400,1,7,3,1,4,1,1,3,4,4,2,7260,4,0,11,3,1,28.5,2,6,4.0,0.0,2.0,0
23,2,541,2,2,1,5,3,1,3,1,8,1,0,2322,3,0,13,3,3,3.0,3,0,0.0,0.0,0.0,0
51,2,432,1,9,4,1,4,1,3,1,2,4,1,2075,3,0,23,4,2,10.0,3,4,2.0,0.0,3.0,0
30,2,288,1,2,3,1,3,1,2,2,0,4,1,4152,1,0,19,3,1,11.0,3,11,10.0,7.5,8.0,0
46,2,669,2,9,2,3,3,1,2,3,7,4,2,9619,1,0,16,3,4,9.0,3,9,8.0,4.0,7.0,1
40,1,530,1,1,4,1,3,1,2,4,0,2,1,13503,1,0,22,4,4,22.0,2,18,3.0,7.5,11.0,0
51,2,632,2,21,4,2,3,1,3,2,7,4,2,5441,0,1,22,4,4,11.0,1,10,7.0,1.0,0.0,0
30,2,1334,2,4,2,3,3,0,2,2,7,2,0,5209,1,1,12,3,2,11.0,2,11,8.0,2.0,7.0,0
46,1,638,1,1,3,3,3,1,2,3,0,1,1,10673,2,1,13,3,3,21.0,2,10,9.0,7.5,5.0,0
32,2,1093,2,6,4,3,2,1,3,2,7,3,2,5010,1,0,16,3,1,12.0,3,11,8.0,5.0,7.0,0
54,2,1217,1,2,4,5,1,0,3,3,5,3,1,13549,9,0,12,3,1,16.0,1,4,3.0,0.0,3.0,0
24,2,1353,2,3,2,4,1,0,3,2,7,3,1,4999,0,0,21,4,1,4.0,2,3,2.0,0.0,2.0,0
28,0,120,2,4,3,3,2,1,3,2,7,3,1,4221,1,0,15,3,2,5.0,4,5,4.0,0.0,4.0,0
58,2,682,2,10,4,3,4,1,3,4,7,3,2,13872,0,0,13,3,3,28.5,2,18,10.0,1.0,8.0,0
44,0,489,1,23,3,3,2,1,3,2,2,2,1,2042,4,0,12,3,3,17.0,4,3,2.0,1.0,2.0,0
37,2,807,0,6,4,0,3,1,3,1,1,1,0,2073,4,1,22,4,4,7.0,3,3,2.0,0.0,2.0,1
32,2,827,1,1,1,1,4,1,3,1,6,1,2,2956,1,0,13,3,4,1.0,3,1,0.0,0.0,0.0,0
20,1,871,1,6,3,1,4,0,2,1,2,4,2,2926,1,1,18,3,2,1.0,3,1,0.0,1.0,0.0,1
34,2,665,1,6,4,4,1,0,3,2,6,3,2,4809,1,0,14,3,3,16.0,3,16,13.0,2.0,10.0,0
37,0,1040,1,2,2,1,3,1,2,2,0,4,0,5163,5,0,14,3,4,17.0,4,1,0.0,0.0,0.0,0
59,0,1420,0,2,4,0,3,0,2,5,3,4,1,16581,9,0,21,4,4,28.5,3,3,2.0,2.0,2.0,0
50,1,1115,1,1,3,1,1,0,3,5,5,2,1,16581,3,1,19,3,1,28.0,2,8,3.0,0.0,7.0,0
25,2,240,2,5,3,2,3,1,2,2,7,3,2,5744,1,1,11,3,4,6.0,3,6,4.0,0.0,3.0,1
25,2,1280,1,7,1,3,4,1,2,1,6,4,1,2889,1,0,11,3,3,2.0,3,2,2.0,2.0,1.0,0
22,2,534,1,15,3,3,2,0,3,1,2,4,2,2871,1,0,15,3,3,1.0,3,0,0.0,0.0,0.0,0
51,1,1456,1,1,4,3,1,0,2,3,0,1,2,7484,3,0,20,4,3,23.0,2,13,12.0,7.5,8.0,0
34,1,658,1,7,3,1,1,1,1,2,2,3,2,6074,1,1,24,4,4,9.0,3,9,7.0,0.0,6.0,1
54,0,142,0,26,3,0,4,0,4,4,3,4,2,16581,2,1,12,3,3,23.0,3,5,3.0,4.0,4.0,0
24,2,1127,1,18,1,1,2,1,3,1,2,3,1,2774,0,0,12,3,3,6.0,3,5,3.0,1.0,2.0,0
34,2,1031,1,6,4,1,3,0,2,2,6,2,0,4505,6,0,15,3,3,12.0,3,1,0.0,0.0,0.0,0
37,2,1189,2,3,3,1,3,1,3,3,7,4,2,7428,2,0,12,3,1,12.0,3,5,3.0,1.0,3.0,0
34,2,1354,1,5,3,3,3,0,2,3,3,1,2,11631,2,0,12,3,4,14.0,3,11,10.0,5.0,8.0,0
36,1,1467,2,11,2,5,2,0,3,3,7,4,1,9738,0,0,14,3,3,10.0,3,9,7.0,2.0,8.0,0
36,2,922,1,3,2,1,1,0,3,1,2,4,0,2835,5,0,22,4,1,7.0,3,1,0.0,0.0,0.0,0
43,1,394,2,26,2,1,3,1,3,4,3,4,1,16581,1,1,12,3,4,25.0,4,18,12.0,4.0,12.0,0
30,1,1312,1,23,3,1,1,1,1,1,6,3,0,2613,1,0,25,4,3,10.0,2,10,7.0,0.0,9.0,0
33,0,750,2,22,2,2,3,1,3,2,7,2,1,6146,0,0,13,3,1,8.0,4,7,7.0,0.0,7.0,0
56,2,441,1,14,4,1,2,0,3,1,6,2,1,4963,9,1,18,3,1,7.0,3,5,4.0,4.0,3.0,1
51,2,684,1,6,3,1,1,1,3,5,5,3,2,16581,7,0,13,3,3,23.0,3,18,14.5,7.5,14.5,0
31,2,249,2,6,4,1,2,1,1,2,7,3,1,6172,4,1,18,3,2,12.0,2,7,7.0,7.0,7.0,1
26,2,841,1,6,3,4,3,0,2,1,6,2,1,2368,1,0,19,3,3,5.0,2,5,4.0,4.0,3.0,0
58,2,147,1,23,4,3,4,0,3,3,0,4,1,10312,1,0,12,3,4,28.5,2,18,10.0,7.5,6.0,1
19,2,528,2,22,1,2,4,1,3,1,8,3,2,1675,1,1,19,3,4,0.0,2,0,0.0,0.0,0.0,1
22,2,594,1,2,1,5,3,1,3,1,2,4,1,2523,0,0,14,3,3,3.0,3,2,1.0,2.0,1.0,0
49,2,470,1,20,4,3,3,0,3,2,4,1,1,6567,1,0,14,3,3,16.0,2,15,11.0,5.0,11.0,0
43,1,957,1,28,3,3,2,0,4,1,6,3,2,4739,4,0,12,3,4,18.0,3,3,2.0,1.0,2.0,0
50,1,809,2,12,3,2,3,0,3,3,7,4,2,9208,4,0,11,3,4,16.0,3,2,2.0,2.0,1.0,0
31,2,542,2,20,3,1,2,0,1,2,7,3,1,4559,3,1,11,3,3,4.0,3,2,2.0,2.0,2.0,1
41,2,802,2,9,1,1,3,1,3,3,7,3,0,8189,3,1,13,3,3,12.0,3,9,7.0,0.0,7.0,0
26,2,1355,0,25,1,1,3,0,3,1,1,3,1,2942,1,0,23,4,4,8.0,3,8,7.0,5.0,7.0,0
36,2,216,1,6,2,3,2,1,3,2,4,2,0,4941,6,0,20,4,4,7.0,3,3,2.0,0.0,1.0,0
51,1,1150,1,8,4,1,1,1,1,3,4,4,2,10650,2,0,15,3,4,18.0,3,4,2.0,0.0,3.0,1
39,2,1329,2,4,4,1,4,0,2,2,7,3,1,5902,4,0,14,3,3,17.0,4,15,11.0,5.0,9.0,0
25,2,959,2,28,3,1,1,1,2,2,7,3,1,8639,2,0,18,3,4,6.0,3,2,2.0,2.0,2.0,0
30,2,1240,0,9,3,0,3,1,3,2,1,4,1,6347,0,1,19,3,4,12.0,1,11,9.0,4.0,7.0,0
32,2,1033,1,9,3,3,1,0,3,1,2,1,2,4200,7,0,22,4,1,10.0,4,5,4.0,0.0,4.0,1
45,2,1316,1,29,3,3,3,1,3,1,6,4,2,3452,5,0,13,3,2,9.0,2,6,5.0,0.0,3.0,0
38,2,364,1,3,5,5,4,0,3,2,6,3,2,4317,3,1,20,4,2,19.0,3,3,2.0,2.0,2.0,0
30,2,438,1,18,3,1,1,0,3,1,6,3,2,2632,1,0,14,3,3,5.0,2,5,4.0,0.0,4.0,0
32,1,689,2,9,2,3,4,1,1,2,7,4,0,4668,0,0,17,3,4,9.0,4,8,7.0,0.0,7.0,0
30,2,201,1,5,3,5,4,0,3,1,6,1,0,3204,5,0,14,3,4,8.0,3,3,2.0,2.0,2.0,0
30,2,1427,1,2,1,3,2,1,2,1,2,4,2,2720,0,0,13,3,4,6.0,3,5,3.0,1.0,2.0,0
41,1,857,1,10,3,1,4,1,2,4,3,1,0,16581,4,0,13,3,2,21.0,2,7,6.0,7.0,7.0,0
41,2,933,1,9,4,1,3,1,3,1,2,1,1,2238,2,0,21,4,4,7.0,3,5,0.0,1.0,4.0,0
19,2,1181,1,3,1,3,2,0,3,1,2,2,2,1483,1,0,14,3,4,1.0,3,1,0.0,0.0,0.0,0
40,1,1395,1,26,3,3,2,0,3,2,6,2,0,5605,1,0,11,3,1,20.0,3,18,7.0,2.0,13.0,0
35,2,662,2,1,5,2,3,1,3,3,7,2,1,7295,1,0,13,3,1,10.0,3,10,8.0,0.0,6.0,0
53,2,1436,2,6,2,2,2,1,3,2,8,3,1,2306,2,1,20,4,4,13.0,1,7,7.0,4.0,5.0,0
45,2,194,1,9,3,1,2,1,3,2,2,2,0,2348,8,0,18,3,3,20.0,1,17,9.0,0.0,14.5,0
32,1,967,2,8,3,2,2,0,3,3,7,4,2,8998,1,0,14,3,4,9.0,3,9,8.0,3.0,7.0,0
29,0,1496,1,1,1,5,4,1,3,2,4,3,1,4319,1,0,13,3,1,10.0,3,10,7.0,0.0,9.0,0
51,2,1169,1,7,4,3,2,1,2,2,4,3,1,6132,2,0,17,3,3,10.0,3,1,0.0,0.0,0.0,0
58,2,1145,1,9,3,3,2,0,2,1,6,2,1,3346,4,1,20,4,2,9.0,2,1,0.0,0.0,0.0,0
40,2,630,2,4,4,2,3,1,2,3,7,4,1,10855,7,0,11,3,1,15.0,2,12,11.0,2.0,11.0,0
34,1,303,2,2,4,2,3,0,3,1,8,3,1,2231,6,0,18,3,4,6.0,3,4,3.0,1.0,2.0,0
22,2,1256,1,19,1,3,3,1,3,1,6,4,1,2323,1,0,24,4,1,2.0,3,2,2.0,2.0,2.0,0
27,0,691,1,9,3,3,4,1,3,1,6,2,0,2024,6,0,18,3,4,6.0,1,2,2.0,2.0,2.0,0
28,2,440,1,21,3,3,3,1,3,1,6,4,1,2713,1,0,11,3,3,5.0,1,5,2.0,0.0,2.0,0
57,2,334,1,24,2,1,3,1,4,3,0,4,0,9439,3,1,16,3,2,12.0,1,5,3.0,1.0,4.0,0
27,0,1450,1,3,3,3,3,1,2,1,6,3,0,2566,1,1,15,3,4,1.0,2,1,1.0,0.0,1.0,0
50,2,1452,1,11,3,1,3,0,3,5,3,2,2,16581,3,0,15,3,2,21.0,3,5,4.0,4.0,4.0,0
41,2,465,1,14,3,1,1,1,3,1,6,3,0,2451,4,0,12,3,1,13.0,3,9,8.0,1.0,8.0,0
30,2,1339,2,5,3,1,2,0,3,3,7,4,1,9419,2,0,12,3,3,12.0,3,10,9.0,7.0,4.0,0
38,2,702,2,1,4,1,1,0,2,2,7,4,2,8686,4,0,22,4,3,12.0,4,8,3.0,0.0,7.0,0
32,2,120,1,6,5,1,3,1,3,1,6,3,2,3038,3,0,20,4,1,8.0,3,5,4.0,1.0,4.0,0
27,2,1157,1,17,3,5,3,1,3,1,6,2,1,3058,0,1,16,3,4,6.0,2,5,2.0,1.0,1.0,0
19,1,602,2,1,1,5,3,0,1,1,8,1,2,2325,0,0,21,4,1,1.0,4,0,0.0,0.0,0.0,1
36,1,1480,1,3,2,3,4,1,3,1,2,2,2,2088,4,0,12,3,3,13.0,2,8,7.0,7.0,2.0,0
30,0,111,1,9,3,3,3,1,3,2,2,1,0,3072,1,0,11,3,3,12.0,3,12,9.0,6.0,10.0,0
45,2,1268,2,4,2,1,3,0,3,2,7,1,0,5006,4,1,11,3,1,9.0,4,5,4.0,0.0,3.0,0
56,2,713,1,8,3,1,3,0,3,1,6,1,0,4257,4,1,18,3,3,19.0,3,2,2.0,2.0,2.0,0
33,2,134,1,2,3,1,3,1,3,1,6,4,2,2500,0,0,14,3,1,4.0,4,3,1.0,0.0,2.0,0
19,2,303,1,2,3,1,2,1,2,1,2,4,2,1102,1,0,22,4,3,1.0,2,1,0.0,1.0,0.0,1
46,2,526,2,1,2,2,2,0,3,3,7,1,0,10453,1,0,25,4,3,24.0,3,18,13.0,7.5,7.0,0
38,2,1380,1,9,2,1,3,0,3,1,2,4,2,2288,1,0,12,3,3,2.0,3,2,2.0,2.0,1.0,0
31,2,140,1,12,1,3,3,0,3,1,6,4,1,3929,8,1,23,4,3,7.0,3,4,2.0,0.0,2.0,0
34,2,629,1,27,2,3,4,0,3,1,6,2,2,2311,2,0,15,3,4,9.0,3,3,2.0,1.0,2.0,0
41,2,1356,2,20,2,2,2,0,3,1,8,2,2,3140,1,1,22,4,4,4.0,2,4,3.0,0.0,2.0,1
50,2,328,1,1,3,3,3,1,2,1,2,3,1,3690,2,0,15,3,4,5.0,2,3,2.0,0.0,2.0,0
53,2,1084,1,13,2,3,4,0,4,2,4,1,0,4450,1,0,11,3,3,5.0,3,4,2.0,1.0,3.0,0
33,2,931,1,14,3,3,4,0,3,1,6,2,1,2756,1,0,13,3,4,8.0,3,8,7.0,1.0,6.0,0
40,2,989,1,4,1,3,4,0,3,5,3,3,1,16581,1,0,14,3,2,21.0,3,18,8.0,7.5,9.0,0
55,2,692,1,14,4,3,3,1,4,5,5,2,2,16581,8,0,11,3,4,28.5,3,18,14.5,2.0,14.5,0
34,1,1069,1,2,1,1,4,1,2,2,4,3,1,9547,1,0,17,3,3,10.0,2,10,9.0,1.0,9.0,0
51,2,313,1,3,3,3,4,0,3,4,0,2,2,13734,3,0,18,3,3,21.0,3,7,7.0,1.0,0.0,0
52,2,699,1,1,4,1,3,1,2,5,3,3,1,16581,0,0,14,3,1,28.5,3,18,14.5,7.5,9.0,0
27,2,894,1,9,3,3,4,0,3,1,6,2,2,2279,1,0,16,3,4,7.0,2,7,7.0,0.0,3.0,0
35,2,556,1,23,2,1,2,1,2,2,4,3,1,5916,3,1,13,3,1,8.0,3,1,0.0,0.0,1.0,1
43,0,1344,1,7,3,3,4,1,4,1,6,4,0,2089,4,0,14,3,4,7.0,4,5,4.0,2.0,2.0,0
45,0,1195,1,2,2,3,1,1,2,4,3,4,1,16581,9,0,23,4,4,22.0,3,18,8.0,7.5,8.0,0
37,2,290,1,21,3,1,2,1,4,1,6,1,1,3564,1,1,12,3,1,8.0,2,8,7.0,1.0,7.0,0
35,1,138,1,2,3,3,2,0,3,2,2,2,2,4425,5,0,11,3,4,10.0,3,6,2.0,1.0,2.0,0
42,0,926,1,21,2,3,3,0,3,2,4,3,0,5265,2,0,16,3,2,11.0,3,5,3.0,0.0,2.0,0
38,2,1261,1,2,4,1,4,1,3,2,4,3,1,6553,9,0,14,3,2,14.0,3,1,0.0,0.0,0.0,0
38,2,1084,1,29,3,5,4,1,3,2,4,4,1,6261,3,0,18,3,1,9.0,1,7,7.0,1.0,7.0,0
27,1,472,1,1,1,5,3,1,2,2,4,1,1,4298,5,0,19,3,3,6.0,3,2,2.0,2.0,0.0,0
49,0,1002,1,18,4,1,4,1,3,2,4,4,0,6804,1,1,15,3,1,7.0,3,7,7.0,1.0,7.0,0
34,1,878,1,10,4,3,4,1,3,1,6,3,0,3815,1,1,17,3,4,5.0,4,5,3.0,2.0,0.0,0
40,2,905,1,19,2,3,3,1,3,2,2,4,1,2741,8,1,15,3,3,15.0,4,7,2.0,3.0,7.0,0
38,2,1180,1,29,1,3,2,1,3,2,0,1,1,6673,7,1,19,3,2,17.0,3,1,0.0,0.0,0.0,1
29,2,121,2,27,3,2,2,0,3,3,7,4,1,7639,1,0,22,4,4,10.0,2,10,4.0,1.0,9.0,1
22,2,1136,1,5,3,1,4,1,4,1,6,2,0,2328,1,1,16,3,1,4.0,2,4,2.0,2.0,2.0,0
36,1,635,1,18,1,3,2,0,3,1,2,4,2,2153,1,0,13,3,1,8.0,3,8,1.0,1.0,7.0,0
40,0,1151,1,9,5,1,4,1,2,2,0,4,1,4876,9,0,14,3,4,5.0,1,3,2.0,0.0,2.0,0
46,2,644,1,1,4,3,4,1,3,3,0,1,0,9396,7,0,16,3,3,17.0,3,4,2.0,0.0,3.0,0
32,2,1045,2,4,4,3,4,1,1,3,7,4,1,10400,1,0,11,3,3,14.0,2,14,8.0,7.5,8.0,1
30,0,829,1,1,1,1,3,1,2,3,4,3,2,8474,1,0,22,4,3,12.0,3,11,8.0,5.0,8.0,0
27,1,1242,2,20,3,1,4,0,3,2,7,3,2,9981,1,0,14,3,4,7.0,3,7,7.0,0.0,7.0,0
51,2,1469,1,8,4,1,2,1,2,3,5,2,1,12490,5,0,16,3,4,16.0,1,10,9.0,4.0,7.0,0
